Sockets\Mem_Nodes,0,1,2,3,4,5,6,7
0-1,10485.1333333,7428.1,6957.83333333,9406.46666667,6594.43333333,4571.63333333,4494.3
0-2,7304.43333333,7809.93333333,8393.26666667,10728.0,11244.5666667,10125.2666667,7644.46666667
0-3,6635.76666667,6252.3,6504.5,8126.4,8224.16666667,7567.53333333,5593.0
0-4,11449.4666667,11671.2,10886.7333333,7635.6,6572.9,10555.6666667,5721.43333333
0-5,5759.8,8013.56666667,8106.3,6169.33333333,6374.7,8107.1,6672.66666667
0-6,8052.23333333,9667.66666667,9939.86666667,9784.73333333,7217.23333333,7786.9,6974.5
0-7,9247.13333333,12998.1666667,10285.1666667,6896.66666667,9878.2,8607.43333333,6469.3
1-2,7689.13333333,8654.4,12070.7333333,11174.9,11340.5,7353.73333333,11099.5333333
1-3,8167.4,7564.93333333,6986.8,8352.06666667,8384.13333333,5918.16666667,7851.66666667
1-4,11998.9,11317.8666667,11635.1,11150.5666667,8251.83333333,7773.73333333,6595.23333333
1-5,7802.2,7610.9,8134.53333333,7440.86666667,7199.8,7518.0,7890.96666667
1-6,6763.63333333,10599.4666667,11553.6333333,9892.3,7438.56666667,6134.7,12173.4333333
1-7,8373.1,10954.3666667,10421.5666667,7734.76666667,10894.0666667,7788.3,8719.96666667
2-3,3788.43333333,4497.1,4570.13333333,4352.46666667,4545.36666667,3762.2,3757.03333333
2-4,8128.86666667,8905.26666667,10662.3666667,9254.63333333,9988.6,11375.6333333,6550.0
2-5,6734.13333333,6451.3,6791.8,6914.6,6980.06666667,7454.96666667,7085.73333333
2-6,6265.56666667,9153.53333333,8259.93333333,11410.2,8390.13333333,11538.9333333,11566.0333333
2-7,7018.36666667,10525.1,8814.96666667,7521.46666667,11171.6,10923.1666667,10934.2
3-4,8149.53333333,7519.16666667,6213.16666667,7782.26666667,7539.46666667,8046.56666667,5874.3
3-5,6770.86666667,5894.7,5304.76666667,6238.76666667,6024.2,6199.33333333,5863.9
3-6,7596.86666667,7233.9,6190.6,7813.23333333,7301.03333333,7786.7,7496.3
3-7,8050.53333333,7475.46666667,6929.06666667,7640.56666667,7671.93333333,8062.5,7888.93333333
4-5,3362.16666667,4404.76666667,4238.7,4324.76666667,4463.06666667,4084.3,3757.6
4-6,7988.0,11501.5,11057.1333333,10485.7333333,8303.63333333,11977.8,6665.16666667
4-7,8592.8,11737.5,11416.8666667,7812.23333333,11386.2333333,10799.4666667,8030.56666667
5-6,7053.73333333,8052.63333333,7626.46666667,7204.06666667,6137.7,8056.53333333,8188.3
5-7,6556.0,7996.53333333,8192.5,6702.1,7557.7,7921.8,7485.73333333
6-7,4205.3,7223.93333333,6708.6,4251.03333333,4143.26666667,7746.86666667,7223.43333333
0-1,8528.1,9265.93333333,4109.03333333,4102.5,5976.76666667,3872.76666667,2425.16666667,2427.3
0-2,6163.4,4221.8,8567.83333333,4947.2,6029.13333333,6035.33333333,4743.93333333,4194.56666667
0-3,5487.23333333,6090.23333333,7341.86666667,7451.63333333,6004.56666667,5328.2,4515.03333333,4075.26666667
0-4,5999.13333333,6149.13333333,6269.26666667,5825.83333333,5977.06666667,4451.23333333,5125.46666667,4000.53333333
0-5,4611.6,4093.6,6438.03333333,6177.26666667,6012.53333333,6025.23333333,6164.16666667,3629.7
0-6,7867.63333333,4624.93333333,6110.86666667,5563.1,4691.76666667,4146.43333333,6011.43333333,4223.06666667
0-7,8522.06666667,6158.6,8186.43333333,5607.5,3447.3,4951.5,6207.4,4781.9
1-2,6045.9,4757.2,7449.0,8435.96666667,6012.86666667,5950.5,3476.66666667,5178.7
1-3,4298.66666667,6037.66666667,4909.43333333,7132.23333333,6054.06666667,5137.43333333,3118.53333333,3417.2
1-4,5996.3,6303.96666667,5419.73333333,6220.5,6111.03333333,4783.1,3672.66666667,3442.36666667
1-5,4694.0,5124.66666667,7601.8,5127.4,6090.53333333,6926.96666667,4228.83333333,5965.4
1-6,7312.96666667,4231.96666667,5402.56666667,5354.6,4698.5,4152.66666667,5606.5,6156.53333333
1-7,5279.23333333,6266.7,6024.5,6177.5,3418.86666667,4737.86666667,3950.1,6332.9
2-3,2377.7,2382.03333333,8470.8,9273.76666667,6102.46666667,7012.8,2401.63333333,2379.33333333
2-4,4467.73333333,3437.7,7018.23333333,6218.46666667,6211.3,8582.1,6155.56666667,4119.56666667
2-5,3872.33333333,3119.43333333,7468.8,6251.7,6178.06666667,8477.06666667,5360.23333333,4681.7
2-6,4922.83333333,3757.26666667,6021.86666667,4749.7,4740.9,4126.8,6062.93333333,6173.5
2-7,6022.26666667,3461.9,7825.8,4827.4,3478.63333333,6017.53333333,6094.66666667,6091.73333333
3-4,3405.2,4631.43333333,6187.83333333,5683.83333333,6123.0,7650.86666667,4141.86666667,4045.26666667
3-5,3338.13333333,4585.2,8601.63333333,6222.96666667,6112.76666667,7883.26666667,4720.93333333,3421.13333333
3-6,3616.06666667,4193.7,6099.73333333,6076.0,4728.83333333,3769.13333333,4689.36666667,4122.63333333
3-7,4020.86666667,4679.2,7304.5,9328.7,3440.16666667,6013.2,5309.66666667,4691.83333333
4-5,2373.96666667,2394.6,5686.36666667,4771.03333333,8468.53333333,9258.53333333,4136.2,2410.3
4-6,6044.63333333,3625.76666667,6064.8,5042.23333333,5884.76666667,4151.86666667,7864.93333333,4053.66666667
4-7,5388.96666667,6009.73333333,6268.16666667,5644.4,4201.83333333,6049.06666667,7305.53333333,4710.36666667
5-6,4109.26666667,3262.76666667,5633.1,5969.66666667,6104.43333333,4161.66666667,7545.36666667,6044.56666667
5-7,4659.0,4089.3,6442.4,6227.6,4067.1,6193.66666667,5102.16666667,6184.66666667
6-7,4099.46666667,2436.36666667,6088.53333333,3928.03333333,2392.03333333,2385.96666667,8545.5,9277.2
