Sockets\Mem_Nodes,0,1,2,3,4,5,6,7
0-1,10236.2333333,7295.8,6823.23333333,8660.83333333,6534.93333333,4536.8,4481.76666667
0-2,8488.26666667,7556.96666667,7571.26666667,7679.03333333,9526.56666667,7373.1,6574.66666667
0-3,7589.2,5991.03333333,6363.56666667,6251.8,6456.13333333,6669.93333333,4929.73333333
0-4,10544.1,10432.8333333,8265.23333333,7538.46666667,6134.06666667,8129.23333333,5511.76666667
0-5,8490.96666667,8685.83333333,7831.1,5964.7,6072.76666667,8455.26666667,5207.23333333
0-6,8739.33333333,9635.03333333,9089.4,8734.9,6922.26666667,7645.53333333,6682.56666667
0-7,10305.2666667,11283.8666667,9338.46666667,6515.33333333,7900.9,8080.1,6381.73333333
1-2,7517.03333333,7832.6,11307.3666667,8660.46666667,9196.76666667,6056.03333333,8964.6
1-3,8686.06666667,6522.5,6507.33333333,7172.5,6455.23333333,5501.6,5117.16666667
1-4,10685.2666667,8617.06666667,9329.06666667,9829.2,7374.36666667,6797.23333333,5925.83333333
1-5,7549.76666667,6818.13333333,6321.0,6730.23333333,6811.9,5839.03333333,6076.86666667
1-6,8043.63333333,8964.0,10214.5,8764.4,6926.33333333,6026.36666667,10810.3333333
1-7,8196.33333333,9618.5,10552.7666667,6106.4,8021.4,6615.7,7506.86666667
2-3,3252.46666667,4446.36666667,4258.03333333,4086.36666667,4346.43333333,3190.53333333,3129.76666667
2-4,6765.93333333,8335.93333333,7214.83333333,7773.5,8664.66666667,8620.26666667,5785.6
2-5,5635.9,7221.56666667,7180.46666667,6350.2,6433.66666667,7231.23333333,6996.6
2-6,5530.46666667,7772.2,8039.43333333,8337.2,6418.96666667,8989.33333333,10410.2333333
2-7,6262.83333333,8729.06666667,7626.26666667,6568.46666667,9357.13333333,9341.23333333,8239.3
3-4,6712.53333333,6226.33333333,5664.86666667,6097.26666667,6765.1,5765.0,5271.96666667
3-5,4815.6,5255.33333333,4972.56666667,5567.36666667,5479.86666667,4925.66666667,5520.46666667
3-6,5653.0,6702.16666667,6672.3,6016.0,5499.36666667,5334.26666667,5297.5
3-7,6759.96666667,6766.13333333,6191.93333333,5489.93333333,7013.8,5326.63333333,7119.3
4-5,3647.06666667,4208.76666667,4047.96666667,4719.6,4562.7,3699.96666667,3687.76666667
4-6,6324.23333333,8558.06666667,9132.33333333,8549.9,8083.66666667,10174.2,7593.2
4-7,8441.8,9109.56666667,9271.23333333,8528.2,9896.26666667,9012.03333333,7981.06666667
5-6,4767.03333333,7142.83333333,6453.36666667,6525.26666667,5887.33333333,6882.76666667,7341.06666667
5-7,5149.8,6773.3,7174.4,6101.53333333,7144.83333333,7622.2,7457.76666667
6-7,3671.26666667,6621.06666667,5648.13333333,4265.06666667,3664.56666667,7629.63333333,6856.96666667
0-1,8579.66666667,9279.36666667,4107.93333333,4066.43333333,5965.63333333,3884.96666667,2424.93333333,2313.83333333
0-2,7676.03333333,5374.1,8547.86666667,5255.5,6017.73333333,6025.33333333,5199.46666667,4210.03333333
0-3,5890.76666667,6063.63333333,8111.23333333,8339.96666667,5982.73333333,5342.23333333,4887.13333333,4073.4
0-4,6803.2,7003.73333333,6271.7,6530.26666667,6818.33333333,5000.26666667,5160.5,3988.66666667
0-5,6502.76666667,4671.46666667,6446.76666667,6223.1,6881.93333333,6843.93333333,6131.46666667,3639.16666667
0-6,7909.83333333,5581.06666667,6178.4,5572.03333333,5092.43333333,4158.6,7789.96666667,4776.06666667
0-7,7610.83333333,7010.8,8163.43333333,5605.03333333,3448.36666667,4976.4,6216.86666667,5627.16666667
1-2,6037.6,4734.06666667,7520.93333333,7634.5,6011.5,5966.9,3571.43333333,5141.93333333
1-3,4637.23333333,6849.2,5252.16666667,8272.96666667,6012.2,5111.2,3375.8,3588.03333333
1-4,6036.23333333,6929.03333333,5988.83333333,6170.93333333,6915.9,5000.46666667,3694.53333333,3617.3
1-5,5290.63333333,5711.03333333,7616.7,5166.23333333,6832.0,6873.5,4190.86666667,5975.26666667
1-6,8413.23333333,4858.4,6000.4,5371.03333333,5145.93333333,4169.93333333,5413.16666667,6158.43333333
1-7,5170.73333333,6565.33333333,6000.06666667,6121.56666667,3576.83333333,5164.23333333,4260.8,6937.6
2-3,2377.46666667,2381.96666667,9131.8,9254.73333333,6088.63333333,6985.7,2447.8,2378.73333333
2-4,4883.4,3556.06666667,7038.3,7012.86666667,7029.23333333,8583.2,6161.53333333,4120.83333333
2-5,4803.36666667,3343.73333333,8255.1,6223.23333333,7017.83333333,8469.46666667,5978.73333333,5110.2
2-6,4898.26666667,3762.96666667,7926.66666667,4658.63333333,4727.06666667,4169.43333333,8068.96666667,6120.7
2-7,6041.8,3429.03333333,8722.5,5173.83333333,3591.93333333,6019.73333333,6922.06666667,6985.3
3-4,3420.73333333,4628.66666667,6182.63333333,6438.7,7955.73333333,7664.9,4139.83333333,4058.36666667
3-5,3338.23333333,4567.43333333,8617.16666667,7043.1,7675.93333333,7898.3,4688.86666667,3576.53333333
3-6,3638.76666667,4217.4,6108.36666667,6658.46666667,5191.96666667,3682.0,4748.7,4118.8
3-7,4006.1,5007.7,8041.5,8216.1,3486.53333333,6005.16666667,4730.13333333,4725.66666667
4-5,2427.16666667,2362.1,5904.46666667,5168.73333333,8497.73333333,9258.83333333,4134.13333333,2378.83333333
4-6,6099.0,3638.53333333,6077.3,5038.06666667,6139.66666667,4294.6,8720.03333333,4546.9
4-7,5965.03333333,6015.5,6247.53333333,5667.66666667,5333.23333333,6051.86666667,8061.9,5249.96666667
